city_no,city,district,villageName
1,서울,종로구,사직동
2,서울,종로구,삼청동
3,서울,종로구,부암동
4,서울,종로구,평창동
5,서울,종로구,무악동
6,서울,종로구,교남동
7,서울,종로구,가회동
8,서울,종로구,종로1가동
9,서울,종로구,종로2가동
10,서울,종로구,종로3가동
11,서울,종로구,종로4가동
12,서울,종로구,종로5가동
13,서울,종로구,종로5가동
14,서울,종로구,이화동
15,서울,종로구,창신1동
16,서울,종로구,창신2동
17,서울,종로구,창신3동
18,서울,종로구,숭인1동
19,서울,종로구,숭인2동
20,서울,종로구,청운효자동
21,서울,종로구,혜화동
22,서울,중구,소공동
23,서울,중구,회현동
24,서울,중구,명동
25,서울,중구,필동
26,서울,중구,장충동
27,서울,중구,광희동
28,서울,중구,을지로동
29,서울,중구,신당5동
30,서울,중구,황학동
31,서울,중구,중림동
32,서울,중구,신당동
33,서울,중구,다산동
34,서울,중구,약수동
35,서울,중구,청구동
36,서울,중구,동화동
37,서울,용산구,후암동
38,서울,용산구,용산2가동
39,서울,용산구,남영동
40,서울,용산구,원효로2동
41,서울,용산구,효창동
42,서울,용산구,용문동
43,서울,용산구,이촌1동
44,서울,용산구,이촌2동
45,서울,용산구,이태원1동
46,서울,용산구,이태원2동
47,서울,용산구,서빙고동
48,서울,용산구,보광동
49,서울,용산구,청파동
50,서울,용산구,원효로1동
51,서울,용산구,한강로동
52,서울,용산구,한남동
53,서울,성동구,왕십리2동
54,서울,성동구,마장동
55,서울,성동구,사근동
56,서울,성동구,행당1동
57,서울,성동구,행당2동
58,서울,성동구,응봉동
59,서울,성동구,금호1가동
60,서울,성동구,금호4가동
61,서울,성동구,성수1가1동
62,서울,성동구,성수1가2동
63,서울,성동구,성수2가1동
64,서울,성동구,성수2가3동
65,서울,성동구,송정동
66,서울,성동구,용답동
67,서울,성동구,왕십리도선동
68,서울,성동구,금호2.3가동
69,서울,성동구,옥수동
70,서울,광진구,화양동
71,서울,광진구,군자동
72,서울,광진구,중곡1동
